ID,DATE,TEXT,CRIME,CRIME,ADDRESS,LATITUDE,LONGITUDE
1502478022527447042,2022-03-12 02:54:09,"THEFT - COLD at 900 NE 111TH AVE, PORT [Portland Police #PP22000066270] 18:47 #pdx911 #portland #pdx #oregon https://t.co/UcAkObxc37",THEFT - COLD ,THEFT - COLD ," 900 NE 111TH AVE, PORTLAND",45.52896805,-122.54810105
1502478273204264964,2022-03-12 02:55:09,"DISTURBANCE - WITH WEAPON *H at NE 57TH AVE / NE HASSALO ST, PORT [Portland Police #PP22000066321] 18:07 #pdx911… https://t.co/STPn9ILF2O",DISTURBANCE - WITH WEAPON *H ,DISTURBANCE - WITH WEAPON *H ," NE 57TH AVE / NE HASSALO ST, PORTLAND",45.530230,-122.605106
1502478345581195264,2022-03-12 02:55:26,"THEFT - PRIORITY at 400 NW EASTMAN PKWY, GRSM [Gresham Police #PG22000008926] 18:44 #pdx911 #gresham #pdx #oregon https://t.co/CW1jx8hvCZ",THEFT - PRIORITY ,THEFT - PRIORITY ," 400 NW EASTMAN PKWY, GRESHAM",45.5005833,-122.43380601637932
1502478776071983107,2022-03-12 02:57:09,"AREA CHECK at 1100 NE 102ND AVE, PORT [Portland Police #PP22000066369] 18:51 #pdx911 #portland #pdx #oregon https://t.co/YQJZ0kPz37",AREA CHECK ,AREA CHECK ," 1100 NE 102ND AVE, PORTLAND",45.530732,-122.557969
1502479781312405509,2022-03-12 03:01:09,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at N BROADWAY / N WILLIAMS AVE, PORT [Portland Police #PP22000066363] 18:58… https://t.co/sp7Oisb5jt","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE "," N BROADWAY / N WILLIAMS AVE, PORTLAND",45.5358156,-122.6666384
1502480031494246401,2022-03-12 03:02:08,"HAZARD - HAZARDOUS CONDITION at NE 57TH AVE / NE SANDY BLVD, PORT [Portland Police #PP22000066353] 18:58 #pdx911… https://t.co/ZFbX5svzEK",HAZARD - HAZARDOUS CONDITION ,HAZARD - HAZARDOUS CONDITION ," NE 57TH AVE / NE SANDY BLVD, PORTLAND",45.530230,-122.605106
1502480285794938883,2022-03-12 03:03:09,"THEFT - COLD at 6500 NE MT ST HELENS AVE, PORT [Portland Police #PP22000066277] 18:23 #pdx911 #portland #pdx #oregon https://t.co/P8BvYUWFHh",THEFT - COLD ,THEFT - COLD ," 6500 NE MT ST HELENS AVE, PORTLAND",45.5724338,-122.5586341
1502481042284122116,2022-03-12 03:06:09,"DISTURBANCE - PRIORITY at 400 SE 127TH AVE, PORT [Portland Police #PP22000066319] 18:12 #pdx911 #portland #pdx… https://t.co/zHqPpDfOmf",DISTURBANCE - PRIORITY ,DISTURBANCE - PRIORITY ," 400 SE 127TH AVE, PORTLAND",45.519805371965326,-122.53247934527909
1502481796386099200,2022-03-12 03:09:09,"ROBBERY - COLD at 9000 N CHARLESTON AVE, PORT [Portland Police #PP22000066274] 17:44 #pdx911 #portland #pdx #oregon https://t.co/XCrQhtZkhU",ROBBERY - COLD ,ROBBERY - COLD ," 9000 N CHARLESTON AVE, PORTLAND",45.5933270367893,-122.74941413377928
1502482300499476481,2022-03-12 03:11:09,"VANDALISM - PRIORITY at SW JEFFERSON ST / SW 10TH AVE, PORT [Portland Police #PP22000066377] 19:06 #pdx911… https://t.co/7ksddI5iQA",VANDALISM - PRIORITY ,VANDALISM - PRIORITY ," SW JEFFERSON ST / SW 10TH AVE, PORTLAND",None,
